category,rank,group,group_type,eligible_target_count,submitted_target_count,missing_target_count,mean_fixed_score,mean_submitted_score,best_score,primary_metric
prot_oligo,79,049,all,104,5,99,0.034481,0.717200,0.934000,QSglob
prot_oligo,80,276,all,104,6,98,0.031183,0.540500,0.817000,QSglob
prot_oligo,81,174s,all,104,3,101,0.021798,0.755667,0.923000,QSglob
prot_oligo,82,400,all,104,6,98,0.017904,0.310333,0.858000,QSglob
prot_oligo,83,314s,all,104,3,101,0.013029,0.451667,0.770000,QSglob
prot_oligo,84,358,all,104,2,102,0.012558,0.653000,0.653000,QSglob
prot_oligo,85,271,all,104,1,103,0.008058,0.838000,0.838000,QSglob
prot_oligo,86,132s,all,104,3,101,0.004192,0.145333,0.412000,QSglob
prot_oligo,87,209,all,104,1,103,0.001231,0.128000,0.128000,QSglob
prot_oligo,88,019s,all,104,1,103,0.000163,0.017000,0.017000,QSglob
prot_oligo,89,197,all,104,1,103,0.000000,0.000000,0.000000,QSglob
